"Name","State","Min_Value","Max_Value","Temp_change","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean","rank_temp"
"Grant County","Indiana","61.8","83.9","22.1","93","1.7","60.1",1329
"Greene County","Indiana","63.2","86.4","23.2","93","1.7","61.5",1772
"Hamilton County","Indiana","62","83.4","21.4","100","1.8","60.2",1069
"Hancock County","Indiana","62.2","84.3","22.1","96","1.5","60.7",1329
"Harrison County","Indiana","63.1","87.9","24.8","66","0.2","62.9",2278
"Hendricks County","Indiana","61.9","84","22.1","95","1.5","60.4",1329
"Henry County","Indiana","60.6","84.2","23.6","83","0.9","59.7",1908
"Howard County","Indiana","61","82.3","21.3","91","1.3","59.7",1019
"Huntington County","Indiana","61.3","83.3","22.0","99","1.8","59.5",1301
"Jackson County","Indiana","63.5","85.9","22.4","91","1.4","62.1",1468
"Jasper County","Indiana","60.3","82.3","22.0","89","1.4","58.9",1301
"Jay County","Indiana","60.7","84","23.3","82","1","59.7",1807
"Jefferson County","Indiana","64.1","86","21.9","95","1.8","62.3",1254
"Jennings County","Indiana","63.4","85.1","21.7","87","1.2","62.2",1180
"Johnson County","Indiana","62.2","84.7","22.5","78","0.8","61.4",1520
"Knox County","Indiana","63.9","86.5","22.6","77","0.7","63.2",1563
"Kosciusko County","Indiana","60.2","82.4","22.2","95","1.7","58.5",1377
"LaGrange County","Indiana","60.3","81.2","20.9","100","2.1","58.2",841
"Lake County","Indiana","61.3","82.4","21.1","91","1.5","59.8",933
"LaPorte County","Indiana","61","82.1","21.1","98","2","59",933
"Lawrence County","Indiana","62.4","85.3","22.9","88","1.1","61.3",1659
"Madison County","Indiana","61.7","84.3","22.6","95","1.5","60.2",1563
"Marion County","Indiana","62.8","84.2","21.4","94","1.4","61.4",1069
"Marshall County","Indiana","60.2","82.5","22.3","99","2.2","58",1423
"Martin County","Indiana","62.9","86.6","23.7","90","1.3","61.6",1935
"Miami County","Indiana","61.3","82.8","21.5","95","1.6","59.7",1103
"Monroe County","Indiana","62","85.2","23.2","90","1.1","60.9",1772
"Montgomery County","Indiana","60.5","83.7","23.2","83","1.1","59.4",1772
"Morgan County","Indiana","61.9","85","23.1","82","0.8","61.1",1733
"Newton County","Indiana","60.3","82.6","22.3","85","1","59.3",1423
"Noble County","Indiana","59.4","81.3","21.9","84","0.9","58.5",1254
"Ohio County","Indiana","64.7","87.3","22.6","101","2.3","62.4",1563
"Orange County","Indiana","62.1","86.1","24.0","79","0.5","61.6",2040
"Owen County","Indiana","63.1","86.5","23.4","99","2.1","61",1835
"Parke County","Indiana","61.7","84.6","22.9","88","1","60.7",1659
"Perry County","Indiana","62.4","86.5","24.1","41","-1.1","63.5",2076
"Pike County","Indiana","64","87","23","84","0.9","63.1",1701
"Porter County","Indiana","61.1","81.8","20.7","95","1.9","59.2",753
"Posey County","Indiana","66.5","87.5","21.0","86","1.2","65.3",895
"Pulaski County","Indiana","60.5","81.9","21.4","100","2.1","58.4",1069
"Putnam County","Indiana","61.5","84.9","23.4","93","1.3","60.2",1835
"Randolph County","Indiana","60.2","83.2","23.0","78","0.8","59.4",1707
"Ripley County","Indiana","62.7","84.7","22.0","92","1.4","61.3",1301
"Rush County","Indiana","61.7","84.2","22.5","85","1.1","60.6",1520
"St. Joseph County","Indiana","60.4","82.7","22.3","101","2.2","58.2",1423
"Scott County","Indiana","63.6","86.5","22.9","88","1.2","62.4",1659
"Shelby County","Indiana","62.6","85","22.4","85","1.1","61.5",1468
"Spencer County","Indiana","63.7","86.9","23.2","48","-0.5","64.2",1772
"Starke County","Indiana","60.6","82.2","21.6","100","2.3","58.3",1132
"Steuben County","Indiana","60","80.8","20.8","101","2.1","57.9",801
"Sullivan County","Indiana","63.8","86.5","22.7","89","1.5","62.3",1608
"Switzerland County","Indiana","65.2","87.4","22.2","106","2.7","62.5",1377
"Tippecanoe County","Indiana","60.4","83.1","22.7","71","0.6","59.8",1608
"Tipton County","Indiana","61.1","83","21.9","91","1.5","59.6",1254
"Union County","Indiana","61.4","83.7","22.3","81","1.1","60.3",1423
"Vanderburgh County","Indiana","66.5","87.2","20.7","88","1.5","65",753
"Vermillion County","Indiana","61.9","83.9","22.0","84","0.8","61.1",1301
"Vigo County","Indiana","63.5","86.4","22.9","94","1.7","61.8",1659
"Wabash County","Indiana","61.4","83.5","22.1","98","1.8","59.6",1329
"Warren County","Indiana","60.5","82.5","22.0","78","0.6","59.9",1301
"Warrick County","Indiana","64.7","87.2","22.5","76","0.6","64.1",1520
"Washington County","Indiana","62.6","86.1","23.5","82","1","61.6",1879
"Wayne County","Indiana","60.6","82.8","22.2","80","1","59.6",1377
"Wells County","Indiana","61.2","83.6","22.4","95","1.7","59.5",1468
"White County","Indiana","60.2","82.4","22.2","80","1.1","59.1",1377
"Whitley County","Indiana","59.8","82.4","22.6","82","0.9","58.9",1563
"Adair County","Iowa","60","82.2","22.2","59","-0.1","60.1",1377
"Adams County","Iowa","60.7","82.8","22.1","66","0.1","60.6",1329
"Allamakee County","Iowa","60","80.4","20.4","98","1.8","58.2",622
"Appanoose County","Iowa","61.2","83.1","21.9","43","-0.8","62",1254
"Audubon County","Iowa","59.2","81.5","22.3","59","-0.3","59.5",1423
"Benton County","Iowa","59.5","81.5","22.0","73","0.3","59.2",1301
"Black Hawk County","Iowa","60.2","82.3","22.1","91","1.2","59",1329
"Boone County","Iowa","60.7","82.4","21.7","85","0.8","59.9",1180
"Bremer County","Iowa","59.2","81.5","22.3","90","1.2","58",1423
"Buchanan County","Iowa","58.9","81.1","22.2","72","0.5","58.4",1377
"Buena Vista County","Iowa","60.4","80.1","19.7","95","1.5","58.9",381
"Butler County","Iowa","59.5","81.8","22.3","87","1","58.5",1423
"Calhoun County","Iowa","60.1","81","20.9","84","0.9","59.2",841
"Carroll County","Iowa","59.7","81.6","21.9","78","0.5","59.2",1254
"Cass County","Iowa","60.2","82.6","22.4","61","-0.1","60.3",1468
"Cedar County","Iowa","60.9","81.6","20.7","73","0.3","60.6",753
"Cerro Gordo County","Iowa","58.9","80.3","21.4","84","0.9","58",1069
"Cherokee County","Iowa","60.6","80.2","19.6","96","1.6","59",357
"Chickasaw County","Iowa","58.2","80","21.8","90","1.2","57",1221
"Clarke County","Iowa","62.7","83.5","20.8","95","1.3","61.4",801
"Clay County","Iowa","59.6","80.8","21.2","93","1.5","58.1",981
"Clayton County","Iowa","59.4","81","21.6","80","0.8","58.6",1132
"Clinton County","Iowa","62.3","82.1","19.8","96","1.7","60.6",422
"Crawford County","Iowa","60","81","21","77","0.6","59.4",891
"Dallas County","Iowa","61.3","83","21.7","78","0.6","60.7",1180
"Davis County","Iowa","62.1","82.4","20.3","61","-0.2","62.3",588
"Decatur County","Iowa","62.7","83.6","20.9","85","0.9","61.8",841
"Delaware County","Iowa","59.7","81.2","21.5","94","1.5","58.2",1103
"Des Moines County","Iowa","62.3","82.4","20.1","58","-0.1","62.4",518
"Dickinson County","Iowa","59.1","79.8","20.7","86","1.5","57.6",753
"Dubuque County","Iowa","60.8","81.3","20.5","94","1.3","59.5",666
"Emmet County","Iowa","59.4","80.2","20.8","98","1.6","57.8",801
"Fayette County","Iowa","57.9","80.3","22.4","75","0.6","57.3",1468
"Floyd County","Iowa","59.2","80.3","21.1","88","1.2","58",933
"Franklin County","Iowa","59.3","80.8","21.5","87","1.1","58.2",1103
"Fremont County","Iowa","63.1","83.8","20.7","71","0.5","62.6",753
"Greene County","Iowa","60.2","81.3","21.1","79","0.6","59.6",933
"Grundy County","Iowa","60.2","81.5","21.3","93","1.1","59.1",1019
"Guthrie County","Iowa","60.1","81.8","21.7","65","0.1","60",1180
"Hamilton County","Iowa","59.5","80.7","21.2","80","0.7","58.8",981
"Hancock County","Iowa","58.8","80.2","21.4","84","0.9","57.9",1069
"Hardin County","Iowa","60.3","81.1","20.8","98","1.5","58.8",801
"Harrison County","Iowa","61.9","82.7","20.8","83","1","60.9",801
"Henry County","Iowa","62.1","81.7","19.6","62","0","62.1",357
"Howard County","Iowa","57.8","79.3","21.5","94","1.8","56",1103
"Humboldt County","Iowa","59.5","80.4","20.9","80","0.6","58.9",841
"Ida County","Iowa","60.7","80.5","19.8","94","1.3","59.4",422
"Iowa County","Iowa","60.8","82.9","22.1","85","0.8","60",1329
"Jackson County","Iowa","61.6","81.9","20.3","93","1.6","60",588
"Jasper County","Iowa","62.3","82.6","20.3","100","1.7","60.6",588
"Jefferson County","Iowa","62","81.5","19.5","68","0","62",327
"Johnson County","Iowa","61.3","82.4","21.1","89","1","60.3",933
"Jones County","Iowa","60.8","82","21.2","94","1.4","59.4",981
"Keokuk County","Iowa","61.3","83","21.7","75","0.3","61",1180
"Kossuth County","Iowa","59.7","80.7","21.0","96","1.5","58.2",895
"Lee County","Iowa","63.2","82.3","19.1","58","-0.1","63.3",247
"Linn County","Iowa","60.5","81.8","21.3","91","1.4","59.1",1019
"Louisa County","Iowa","62.3","82.8","20.5","79","0.7","61.6",666
"Lucas County","Iowa","62.6","82.9","20.3","86","0.9","61.7",588
"Lyon County","Iowa","59.2","80","20.8","88","1.1","58.1",801
"Madison County","Iowa","61.6","83.7","22.1","84","0.6","61",1329
"Mahaska County","Iowa","61.9","82.8","20.9","84","0.6","61.3",841
"Marion County","Iowa","63","82.9","19.9","92","1.1","61.9",463
"Marshall County","Iowa","60.9","81.7","20.8","97","1.4","59.5",801
"Mills County","Iowa","62.6","83.7","21.1","66","0.2","62.4",933
"Mitchell County","Iowa","58.3","79.3","21.0","82","0.9","57.4",895
"Monona County","Iowa","61.3","82.4","21.1","82","0.9","60.4",933
"Monroe County","Iowa","61.9","82.6","20.7","59","-0.1","62",753
"Montgomery County","Iowa","61.6","83.2","21.6","67","0.2","61.4",1132
"Muscatine County","Iowa","61.5","82.2","20.7","71","0.2","61.3",753
"O&#039;Brien County","Iowa","59.7","80.4","20.7","96","1.5","58.2",753
"Osceola County","Iowa","59.2","79.5","20.3","98","1.8","57.4",588
"Page County","Iowa","62.6","83.6","21.0","82","0.8","61.8",895
"Palo Alto County","Iowa","59.4","80.6","21.2","89","1.1","58.3",981
"Plymouth County","Iowa","61.1","80.6","19.5","103","1.9","59.2",327
"Pocahontas County","Iowa","59.9","80.5","20.6","83","0.8","59.1",707
"Polk County","Iowa","62.1","83","20.9","84","0.6","61.5",841
"Pottawattamie County","Iowa","61.8","83.1","21.3","74","0.5","61.3",1019
"Poweshiek County","Iowa","61.2","82.5","21.3","97","1.4","59.8",1019
"Ringgold County","Iowa","61.7","83.7","22.0","75","0.6","61.1",1301
"Sac County","Iowa","60.4","80.8","20.4","90","1.3","59.1",622
"Scott County","Iowa","62.6","82.4","19.8","93","1.4","61.2",422
"Shelby County","Iowa","60.1","81.6","21.5","66","0.2","59.9",1103
"Sioux County","Iowa","60","80.5","20.5","94","1.4","58.6",666
"Story County","Iowa","61","82.3","21.3","87","1.1","59.9",1019
"Tama County","Iowa","60.1","81.6","21.5","87","0.9","59.2",1103
"Taylor County","Iowa","61.8","83.4","21.6","81","0.8","61",1132
"Union County","Iowa","60.8","83","22.2","71","0.2","60.6",1377
"Van Buren County","Iowa","62.7","81.2","18.5","64","-0.1","62.8",173
"Wapello County","Iowa","61.8","82.2","20.4","60","-0.1","61.9",622
"Warren County","Iowa","62.8","83.5","20.7","85","0.8","62",753
"Washington County","Iowa","61.5","82.6","21.1","77","0.5","61",933
"Wayne County","Iowa","61.8","83.1","21.3","62","0.1","61.7",1019
"Webster County","Iowa","59.5","80.4","20.9","75","0.4","59.1",841
"Winnebago County","Iowa","58.9","79.2","20.3","87","1","57.9",588
"Winneshiek County","Iowa","59.5","80.9","21.4","116","3","56.5",1069
"Woodbury County","Iowa","61.2","81.3","20.1","91","1.2","60",518
"Worth County","Iowa","58.5","79.2","20.7","73","0.6","57.9",753
"Wright County","Iowa","58.8","79.9","21.1","79","0.5","58.3",933
"Allen County","Kansas","67","89","22","76","0.6","66.4",1292
"Anderson County","Kansas","66.8","88","21.2","80","0.8","66",981
"Atchison County","Kansas","64.9","85.9","21.0","76","0.5","64.4",895
"Barber County","Kansas","67.3","93.9","26.6","89","0.8","66.5",2567
"Barton County","Kansas","64.8","90.6","25.8","56","-0.6","65.4",2464
"Bourbon County","Kansas","67","89.1","22.1","74","0.3","66.7",1329
"Brown County","Kansas","64.3","85.4","21.1","73","0.6","63.7",933
"Butler County","Kansas","67.6","90.9","23.3","90","1.4","66.2",1807
"Chase County","Kansas","66","88.6","22.6","74","0.5","65.5",1563
"Chautauqua County","Kansas","68.8","92.7","23.9","94","1.5","67.3",2004
"Cherokee County","Kansas","68.5","91","22.5","93","1.4","67.1",1520
"Cheyenne County","Kansas","61.8","89.4","27.6","117","2.5","59.3",2666
"Clark County","Kansas","66.4","94.1","27.7","86","0.5","65.9",2675
"Clay County","Kansas","66.1","88.7","22.6","88","1.2","64.9",1563
"Cloud County","Kansas","65.7","89","23.3","81","0.8","64.9",1807
"Coffey County","Kansas","66.8","89.9","23.1","91","1.2","65.6",1733
"Comanche County","Kansas","65.9","93","27.1","60","-0.1","66",2616
"Cowley County","Kansas","68.7","92.1","23.4","98","1.6","67.1",1835
"Crawford County","Kansas","67.7","90.3","22.6","84","0.8","66.9",1563
"Decatur County","Kansas","62.2","88","25.8","99","1.4","60.8",2464
"Dickinson County","Kansas","66.7","89.1","22.4","92","1.2","65.5",1468
"Doniphan County","Kansas","65.1","85.9","20.8","73","0.6","64.5",801
"Douglas County","Kansas","66.7","87.4","20.7","86","1","65.7",753
"Edwards County","Kansas","65","91.6","26.6","71","0.2","64.8",2567
"Elk County","Kansas","68","91","23","94","1.4","66.6",1701
"Ellis County","Kansas","64.7","90.3","25.6","88","0.9","63.8",2429
"Ellsworth County","Kansas","66.2","91","24.8","77","0.3","65.9",2278
"Finney County","Kansas","63.6","92.5","28.9","95","1","62.6",2785
"Ford County","Kansas","64.9","92","27.1","88","0.8","64.1",2616
"Franklin County","Kansas","66.8","87.5","20.7","87","1","65.8",753
"Geary County","Kansas","66.4","87.8","21.4","93","1.4","65",1069
"Gove County","Kansas","63.6","90.4","26.8","104","1.5","62.1",2590
"Graham County","Kansas","63.6","88.9","25.3","91","0.9","62.7",2380
"Grant County","Kansas","63.7","93.3","29.6","92","0.9","62.8",2840
"Gray County","Kansas","64.1","92.5","28.4","88","0.7","63.4",2732
"Greeley County","Kansas","61.6","88.8","27.2","92","0.7","60.9",2631
"Greenwood County","Kansas","67.2","89.9","22.7","93","1.3","65.9",1608
"Hamilton County","Kansas","62.6","91.7","29.1","78","0.2","62.4",2802
"Harper County","Kansas","68.9","94.8","25.9","104","1.8","67.1",2480
"Harvey County","Kansas","67.2","90.9","23.7","85","1.1","66.1",1935
"Haskell County","Kansas","63.8","93","29.2","89","0.8","63",2810
"Hodgeman County","Kansas","64.9","92.1","27.2","89","0.9","64",2631
"Jackson County","Kansas","64.9","86.5","21.6","82","0.8","64.1",1132
"Jefferson County","Kansas","65.9","86.4","20.5","87","1.1","64.8",666
"Jewell County","Kansas","64.7","88.7","24.0","95","1.5","63.2",2040
"Johnson County","Kansas","66.8","86.8","20.0","86","0.9","65.9",488
"Kearny County","Kansas","63.3","92.4","29.1","96","0.9","62.4",2802
"Kingman County","Kansas","67.2","92.1","24.9","87","0.7","66.5",2306
"Kiowa County","Kansas","65.2","92","26.8","67","0.2","65",2590
"Labette County","Kansas","68.3","90.7","22.4","83","0.9","67.4",1468
"Lane County","Kansas","63.6","92.1","28.5","102","1.5","62.1",2741
"Leavenworth County","Kansas","66.3","86.6","20.3","87","1.1","65.2",588
"Lincoln County","Kansas","66","90.8","24.8","89","0.8","65.2",2278
"Linn County","Kansas","66.2","88","21.8","55","-0.2","66.4",1221
"Logan County","Kansas","63","90.4","27.4","104","1.5","61.5",2645
"Lyon County","Kansas","66.2","88.7","22.5","87","1.1","65.1",1520
"McPherson County","Kansas","66.7","90.5","23.8","77","0.5","66.2",1967
"Marion County","Kansas","66.6","89.6","23.0","84","1","65.6",1707
"Marshall County","Kansas","63.8","86.2","22.4","66","0.1","63.7",1468
"Meade County","Kansas","65.5","94.2","28.7","85","0.5","65",2764
"Miami County","Kansas","66.5","87.4","20.9","75","0.4","66.1",841
"Mitchell County","Kansas","65.6","89.5","23.9","94","1.2","64.4",2004
"Montgomery County","Kansas","68.7","91.7","23.0","85","1","67.7",1707
"Morris County","Kansas","65.9","87.4","21.5","89","1.1","64.8",1103
"Morton County","Kansas","63.1","93.5","30.4","84","0.4","62.7",2914
"Nemaha County","Kansas","63.7","85.4","21.7","74","0.6","63.1",1180
"Neosho County","Kansas","68","90","22","88","1.1","66.9",1292
"Ness County","Kansas","64.5","91","26.5","92","0.9","63.6",2552
"Norton County","Kansas","62.4","88","25.6","83","0.7","61.7",2429
"Osage County","Kansas","66.4","88.1","21.7","88","1.2","65.2",1180
"Osborne County","Kansas","65.6","89.9","24.3","110","2","63.6",2131
"Ottawa County","Kansas","66.4","90","23.6","90","0.9","65.5",1908
"Pawnee County","Kansas","64.6","90.8","26.2","60","-0.5","65.1",2521
"Phillips County","Kansas","64.4","88","23.6","107","2","62.4",1908
"Pottawatomie County","Kansas","65.3","86.7","21.4","82","0.9","64.4",1069
"Pratt County","Kansas","65.8","91.3","25.5","57","-0.2","66",2420
"Rawlins County","Kansas","61.7","88.2","26.5","105","1.6","60.1",2552
"Reno County","Kansas","67","91.4","24.4","86","0.7","66.3",2159
"Republic County","Kansas","64.9","88.2","23.3","94","1.3","63.6",1807
"Rice County","Kansas","66.1","90.8","24.7","72","0.1","66",2239
"Riley County","Kansas","65.8","87.6","21.8","83","1.1","64.8",1221
"Rooks County","Kansas","64.4","89.7","25.3","94","1.1","63.3",2380
"Rush County","Kansas","64.5","90.2","25.7","70","0.1","64.4",2449
"Russell County","Kansas","65.8","91.4","25.6","93","1.1","64.7",2429
"Saline County","Kansas","66.8","90.2","23.4","81","0.7","66.1",1835
"Scott County","Kansas","63.2","91.6","28.4","106","1.5","61.7",2732
"Sedgwick County","Kansas","68","91.8","23.8","89","1.1","66.9",1967
"Seward County","Kansas","64.6","94.3","29.7","86","0.6","64",2848
"Shawnee County","Kansas","65.9","87.8","21.9","82","0.9","65",1254
"Sheridan County","Kansas","62.7","88.6","25.9","96","1.3","61.4",2480
"Sherman County","Kansas","62","89.3","27.3","122","2.7","59.3",2641
"Smith County","Kansas","65.1","88.2","23.1","112","2.5","62.6",1733
"Stafford County","Kansas","65.3","90.6","25.3","55","-0.6","65.9",2380
"Stanton County","Kansas","62.9","93.2","30.3","83","0.5","62.5",2910
"Stevens County","Kansas","63.9","94.4","30.5","90","0.7","63.2",2923
"Sumner County","Kansas","69.2","93.9","24.7","101","1.7","67.5",2239
"Thomas County","Kansas","61.8","89.2","27.4","104","1.5","60.3",2645
"Trego County","Kansas","64.2","89.3","25.1","95","1","63.2",2345
"Wabaunsee County","Kansas","65.8","87.5","21.7","83","1","64.8",1180
"Wallace County","Kansas","62.6","89.4","26.8","117","1.9","60.7",2590
"Washington County","Kansas","64.5","86.9","22.4","82","0.8","63.7",1468
"Wichita County","Kansas","62.5","90.2","27.7","101","1.1","61.4",2675
"Wilson County","Kansas","68.3","90.6","22.3","89","1.2","67.1",1423
"Woodson County","Kansas","67.4","90","22.6","87","1.2","66.2",1563
"Wyandotte County","Kansas","66.4","86.7","20.3","80","0.8","65.6",588
"Adair County","Kentucky","64.1","87.2","23.1","90","1.4","62.7",1733
"Allen County","Kentucky","64.2","89.6","25.4","64","0.3","63.9",2398
"Anderson County","Kentucky","63.6","88.1","24.5","81","0.7","62.9",2189
"Ballard County","Kentucky","67","89.2","22.2","82","1","66",1377
"Barren County","Kentucky","63.6","89.7","26.1","59","0.1","63.5",2508
"Bath County","Kentucky","61.5","86.8","25.3","44","-0.6","62.1",2380
"Bell County","Kentucky","61.5","83.9","22.4","56","0","61.5",1468
"Boone County","Kentucky","64.6","87.5","22.9","95","1.8","62.8",1659
"Bourbon County","Kentucky","62.1","87.5","25.4","63","0.1","62",2398
"Boyd County","Kentucky","62.6","88.8","26.2","77","0.8","61.8",2521
"Boyle County","Kentucky","63.6","86.7","23.1","85","1","62.6",1733
"Bracken County","Kentucky","61.5","87.3","25.8","59","-0.1","61.6",2464
"Breathitt County","Kentucky","63","87","24","54","-0.4","63.4",2036
"Breckinridge County","Kentucky","62.5","87.5","25.0","47","-0.5","63",2327
"Bullitt County","Kentucky","64.4","88.8","24.4","72","0.3","64.1",2159
"Butler County","Kentucky","64.7","88.5","23.8","69","0.5","64.2",1967
"Caldwell County","Kentucky","65.9","88.5","22.6","58","0.1","65.8",1563
"Calloway County","Kentucky","67.2","89.2","22.0","85","1.4","65.8",1301
"Campbell County","Kentucky","63.6","88.3","24.7","81","0.8","62.8",2239
"Carlisle County","Kentucky","67","89.4","22.4","76","0.9","66.1",1468
"Carroll County","Kentucky","65.4","87.8","22.4","104","2.4","63",1468
"Carter County","Kentucky","61.1","87.5","26.4","61","0.2","60.9",2539
"Casey County","Kentucky","63.4","85.8","22.4","87","1.2","62.2",1468
"Christian County","Kentucky","65.4","89.4","24.0","55","-0.1","65.5",2040
"Clark County","Kentucky","62.5","87.6","25.1","64","0.1","62.4",2345
"Clay County","Kentucky","62.6","85.8","23.2","63","0.1","62.5",1772
"Clinton County","Kentucky","64.2","86.9","22.7","96","1.6","62.6",1608
"Crittenden County","Kentucky","66","87.9","21.9","68","0.4","65.6",1254
"Cumberland County","Kentucky","64.4","88.5","24.1","85","1.2","63.2",2076
"Daviess County","Kentucky","64.4","87.4","23.0","55","-0.2","64.6",1707
"Edmonson County","Kentucky","64.2","89","24.8","72","0.6","63.6",2278
"Elliott County","Kentucky","61","86.8","25.8","48","-0.4","61.4",2464
"Estill County","Kentucky","63.2","87.1","23.9","56","-0.1","63.3",2004
"Fayette County","Kentucky","63.1","87.7","24.6","80","0.7","62.4",2219
"Fleming County","Kentucky","60.8","86.5","25.7","46","-0.7","61.5",2449
"Floyd County","Kentucky","61.9","86.7","24.8","29","-1.4","63.3",2278
"Franklin County","Kentucky","63.9","88","24.1","82","0.9","63",2076
"Fulton County","Kentucky","66.9","89.4","22.5","67","0.2","66.7",1520
"Gallatin County","Kentucky","65.5","88.3","22.8","103","2.5","63",1636
"Garrard County","Kentucky","63.7","86.7","23.0","80","0.8","62.9",1707
"Grant County","Kentucky","64.1","87.5","23.4","92","1.4","62.7",1835
"Graves County","Kentucky","67","89.2","22.2","72","0.9","66.2",1377
"Grayson County","Kentucky","63.3","88","24.7","74","0.5","62.8",2239
"Green County","Kentucky","64.1","88.3","24.2","75","0.6","63.5",2101
"Greenup County","Kentucky","62","88.1","26.1","84","1.1","61",2508
"Hancock County","Kentucky","63","86.8","23.8","39","-1","64",1967
"Hardin County","Kentucky","63.4","87.8","24.4","71","0.3","63.1",2159
"Harlan County","Kentucky","60.1","82.9","22.8","34","-1","61.1",1636
"Harrison County","Kentucky","62.5","87.4","24.9","68","0.3","62.2",2306
"Hart County","Kentucky","63.6","88.6","25.0","61","0.2","63.4",2327
"Henderson County","Kentucky","66.4","87.3","20.9","78","0.8","65.6",841
"Henry County","Kentucky","63.8","87.5","23.7","87","1.1","62.7",1935
"Hickman County","Kentucky","66.9","89.4","22.5","71","0.6","66.3",1520
"Hopkins County","Kentucky","65.9","88.4","22.5","61","0.2","65.7",1520
"Jackson County","Kentucky","62.3","85.3","23.0","63","0.1","62.2",1707
"Jefferson County","Kentucky","64.2","88.4","24.2","63","0.1","64.1",2101
"Jessamine County","Kentucky","63.8","87.7","23.9","84","1","62.8",2004
"Johnson County","Kentucky","61.3","87.2","25.9","32","-1.1","62.4",2480
"Kenton County","Kentucky","64","87.7","23.7","88","1.3","62.7",1935
"Knott County","Kentucky","61.5","85.3","23.8","37","-1.1","62.6",1967
"Knox County","Kentucky","62.3","85.2","22.9","59","0.2","62.1",1659
"Larue County","Kentucky","63.6","87.6","24.0","70","0.3","63.3",2040
"Laurel County","Kentucky","62.6","85.4","22.8","68","0.4","62.2",1636
"Lawrence County","Kentucky","61.4","88.3","26.9","43","-0.5","61.9",2599
"Lee County","Kentucky","63.1","87","23.9","53","-0.5","63.6",2004
"Leslie County","Kentucky","61.9","85.3","23.4","48","-0.5","62.4",1835
"Letcher County","Kentucky","60.1","83.5","23.4","26","-1.6","61.7",1835
"Lewis County","Kentucky","60.6","86.8","26.2","54","-0.1","60.7",2521
"Lincoln County","Kentucky","63.1","85.6","22.5","80","0.9","62.2",1520
"Livingston County","Kentucky","66.2","88.4","22.2","63","0.3","65.9",1377
"Logan County","Kentucky","64.1","88.2","24.1","43","-0.7","64.8",2076
"Lyon County","Kentucky","66.5","88.9","22.4","63","0.4","66.1",1468
"McCracken County","Kentucky","66.8","89.3","22.5","69","0.7","66.1",1520
"McCreary County","Kentucky","61.8","85.3","23.5","57","-0.2","62",1879
"McLean County","Kentucky","65.4","87.8","22.4","61","0.3","65.1",1468
"Madison County","Kentucky","63.4","87.1","23.7","75","0.4","63",1935
"Magoffin County","Kentucky","61.8","86.5","24.7","38","-0.8","62.6",2239
"Marion County","Kentucky","63.8","87.5","23.7","82","0.8","63",1935
"Marshall County","Kentucky","67.2","89.3","22.1","72","0.8","66.4",1329
"Martin County","Kentucky","61.4","88","26.6","27","-1.6","63",2567
"Mason County","Kentucky","60.3","86.9","26.6","50","-0.7","61",2567
"Meade County","Kentucky","62.8","87.6","24.8","48","-0.4","63.2",2278
"Menifee County","Kentucky","61.7","86.2","24.5","46","-0.6","62.3",2189
"Mercer County","Kentucky","63.8","87.7","23.9","85","0.9","62.9",2004
"Metcalfe County","Kentucky","63.1","88.6","25.5","68","0.4","62.7",2420
"Monroe County","Kentucky","63.2","89.2","26.0","60","0.2","63",2494
"Montgomery County","Kentucky","61.6","87.4","25.8","49","-0.4","62",2464
"Morgan County","Kentucky","61.5","86.4","24.9","43","-0.8","62.3",2306
"Muhlenberg County","Kentucky","64.8","87.9","23.1","53","-0.2","65",1733
"Nelson County","Kentucky","63.9","88.4","24.5","71","0.3","63.6",2189
"Nicholas County","Kentucky","61.3","87.2","25.9","51","-0.4","61.7",2480
"Ohio County","Kentucky","64.1","87.9","23.8","58","0.2","63.9",1967
"Oldham County","Kentucky","63","87.2","24.2","57","0","63",2101
"Owen County","Kentucky","64.3","87.8","23.5","90","1.5","62.8",1879
"Owsley County","Kentucky","63.1","86.7","23.6","55","-0.2","63.3",1908
"Pendleton County","Kentucky","63.1","87.7","24.6","73","0.6","62.5",2219
"Perry County","Kentucky","62.2","86","23.8","43","-0.7","62.9",1967
"Pike County","Kentucky","61.4","86.1","24.7","25","-1.9","63.3",2239
"Powell County","Kentucky","62.5","87.2","24.7","48","-0.4","62.9",2239
"Pulaski County","Kentucky","63.4","85.6","22.2","79","0.9","62.5",1377
"Robertson County","Kentucky","61.2","87.2","26.0","52","-0.4","61.6",2494
"Rockcastle County","Kentucky","62.7","85.1","22.4","72","0.4","62.3",1468
"Rowan County","Kentucky","61","85.8","24.8","46","-0.6","61.6",2278
"Russell County","Kentucky","64.3","86.6","22.3","95","1.8","62.5",1423
"Scott County","Kentucky","63.2","87.6","24.4","78","0.7","62.5",2159
"Shelby County","Kentucky","62.9","87.6","24.7","68","0.2","62.7",2239
"Simpson County","Kentucky","64.6","89","24.4","59","0","64.6",2159
"Spencer County","Kentucky","63.5","88.2","24.7","65","0.1","63.4",2239
"Taylor County","Kentucky","64","87.2","23.2","86","1.1","62.9",1772
"Todd County","Kentucky","64.4","88.8","24.4","46","-0.5","64.9",2159
"Trigg County","Kentucky","66.2","89.4","23.2","66","0.4","65.8",1772
"Trimble County","Kentucky","64.2","87","22.8","90","1.4","62.8",1636
"Union County","Kentucky","66.4","87.6","21.2","73","0.6","65.8",981
